quarter,weekly_trend_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
2025Q2,UNKNOWN,689,678,358,320,0,11,52.8023598820059,350,50.79825834542816,1.182639344200582,1.1688075336679593,0.8757531639140966,0.9144548031159192,111,25,ALL
2025Q3,UNKNOWN,1625,1590,743,847,9,26,46.729559748427675,685,42.15384615384615,1.1531201590559634,1.2446837668752897,0.8507621410847205,0.9005278956629796,112,64,ALL
2025Q4,ALIGNED,506,495,241,254,0,11,48.686868686868685,238,47.03557312252964,1.2314323775245892,1.3859887692592114,0.8074541804568138,0.9753261188989946,110,61,ALL
2025Q4,MIXED,620,600,321,279,4,16,53.5,298,48.064516129032256,1.3936592390416704,1.2536886128663505,1.001511037124668,0.8664612527102046,106,61,ALL
2025Q4,OPPOSING,503,487,267,220,1,15,54.82546201232033,244,48.508946322067594,1.5037912767815338,1.2693599037681698,1.0937205841772817,0.8378941250544824,111,61,ALL
2025Q4,UNKNOWN,73,71,39,32,0,2,54.929577464788736,31,42.465753424657535,1.64914252915688,1.0012574011953819,1.0522788203753497,0.6189875070735321,59,3,ALL
2026Q1,ALIGNED,497,493,263,230,3,1,53.34685598377282,234,47.08249496981891,1.69750565723133,1.483479878630176,1.2454152742684863,0.9842154131847747,110,61,ALL
2026Q1,MIXED,591,577,297,280,11,3,51.47313691507799,270,45.68527918781726,1.5188875184598545,1.4350847853886586,1.086244940159712,1.1301633262453068,104,61,ALL
2026Q1,OPPOSING,481,471,250,221,10,0,53.07855626326964,238,49.48024948024948,1.7799630112558456,1.4314714679813119,1.32002779005874,1.085423437787442,107,59,ALL
2026Q2,ALIGNED,506,497,258,239,6,3,51.91146881287727,244,48.22134387351779,1.9657894501430968,1.7398458207360494,1.1828678302341393,1.1802020704536589,109,62,ALL
2026Q2,MIXED,608,597,301,296,9,2,50.41876046901172,289,47.5328947368421,1.5463899990107608,1.4721759992228591,1.2039600344547035,1.0716850405377,106,62,ALL
2026Q2,OPPOSING,513,499,240,259,7,7,48.09619238476954,245,47.758284600389864,1.816865685292904,1.5479284324380278,1.2530103661303382,1.0914259607086538,109,62,ALL
2026Q3,ALIGNED,362,354,145,209,6,2,40.96045197740113,166,45.85635359116022,1.4060789817235027,1.5228836629034725,1.001301658324926,1.0844801081404154,102,46,ALL
2026Q3,MIXED,540,526,240,286,11,3,45.627376425855516,255,47.22222222222222,1.709954227483733,1.6941842008946775,1.1737410587429589,1.2015625835440888,99,46,ALL
2026Q3,OPPOSING,343,330,185,145,6,7,56.06060606060606,174,50.72886297376093,1.663470384191332,1.3755721043121856,1.1349850376081685,1.0142294883439322,101,46,ALL
2025Q2,UNKNOWN,375,368,186,182,0,7,50.54347826086956,198,52.8,1.064063046031732,1.2486505794541605,0.7305134018232249,0.9921562516232906,109,25,BEAR
2025Q2,UNKNOWN,314,310,172,138,0,4,55.483870967741936,152,48.40764331210191,1.324251165262107,1.0734535777131016,0.99634596758275,0.7373740316598407,99,25,BULL
2025Q3,UNKNOWN,855,833,365,468,8,14,43.81752701080432,333,38.94736842105263,1.0995132007753368,1.2951611301715877,0.8153416149068363,0.9284508505388769,112,64,BEAR
2025Q3,UNKNOWN,770,757,378,379,1,12,49.93394980184941,352,45.714285714285715,1.2126447685753605,1.188634227111218,0.8719099842432343,0.8726227308931213,111,64,BULL
2025Q4,ALIGNED,158,156,83,73,0,2,53.205128205128204,69,43.67088607594937,1.3202049797941267,1.223259015001273,0.8981898188815066,0.8677986011278225,50,55,BEAR
2025Q4,MIXED,291,284,143,141,2,5,50.352112676056336,135,46.391752577319586,1.6012337957983875,1.2912505677025847,1.2017042629521675,0.9162065408652333,92,60,BEAR
2025Q4,OPPOSING,339,328,176,152,1,10,53.65853658536585,168,49.557522123893804,1.6395468049983692,1.3162681699491598,1.1509728978457285,0.8960651054067017,82,61,BEAR
2025Q4,UNKNOWN,26,26,18,8,0,0,69.23076923076923,12,46.15384615384615,1.4997485492484492,0.8453810845419554,1.2094566135195854,0.5076830868824338,24,3,BEAR
2025Q4,ALIGNED,348,339,158,181,0,9,46.607669616519175,169,48.5632183908046,1.1911275753447421,1.4598718186062063,0.7296026273898619,1.0439059863426023,78,61,BULL
2025Q4,MIXED,329,316,178,138,2,11,56.32911392405063,163,49.54407294832827,1.2100598590532063,1.2204651208987394,0.8642500545921391,0.8180062061019604,97,60,BULL
2025Q4,OPPOSING,164,159,91,68,0,5,57.23270440251572,76,46.34146341463415,1.2231746666260024,1.1723970852599044,0.979971123294509,0.7687620567511222,45,57,BULL
2025Q4,UNKNOWN,47,45,21,24,0,2,46.666666666666664,19,40.42553191489362,1.7317860074040974,1.087486852961107,0.9602576938144755,0.7942692722695053,41,3,BULL
2026Q1,ALIGNED,206,204,115,89,2,0,56.372549019607845,106,51.45631067961165,2.017829888230106,1.5519346447003537,1.5523377701959815,1.0625485399669299,63,55,BEAR
2026Q1,MIXED,273,270,144,126,3,0,53.333333333333336,126,46.15384615384615,1.560060837327269,1.3382566115929988,1.1350801136811888,1.1060668592653646,93,60,BEAR
2026Q1,OPPOSING,254,252,136,116,2,0,53.96825396825397,119,46.8503937007874,1.5854227072586506,1.2747921597712648,1.2624309807342762,0.958713624034716,76,54,BEAR
2026Q1,ALIGNED,291,289,148,141,1,1,51.21107266435986,128,43.986254295532646,1.4707469232596884,1.4350204909653768,1.101574803149607,0.9404476418864904,75,59,BULL
2026Q1,MIXED,318,307,153,154,8,3,49.8371335504886,144,45.283018867924525,1.4835406126397155,1.5182108591188945,1.06006469161459,1.177449400246502,98,59,BULL
