hypothesis_id,hypothesis_label,feature_a,state_a,feature_b,state_b,research_period_discovery,baseline_favorable_first_pct_discovery,feature_a_binary_n_discovery,feature_a_favorable_first_pct_discovery,feature_b_binary_n_discovery,feature_b_favorable_first_pct_discovery,lift_vs_baseline_pp_discovery,incremental_vs_feature_a_pp_discovery,incremental_vs_feature_b_pp_discovery,total_n_discovery,binary_n_discovery,favorable_n_discovery,adverse_n_discovery,both_n_discovery,unresolved_n_discovery,favorable_first_pct_discovery,avg_mfe_pct_discovery,avg_mae_pct_discovery,median_mfe_pct_discovery,median_mae_pct_discovery,symbol_n_discovery,trade_date_n_discovery,research_period_validation,baseline_favorable_first_pct_validation,feature_a_binary_n_validation,feature_a_favorable_first_pct_validation,feature_b_binary_n_validation,feature_b_favorable_first_pct_validation,lift_vs_baseline_pp_validation,incremental_vs_feature_a_pp_validation,incremental_vs_feature_b_pp_validation,total_n_validation,binary_n_validation,favorable_n_validation,adverse_n_validation,both_n_validation,unresolved_n_validation,favorable_first_pct_validation,avg_mfe_pct_validation,avg_mae_pct_validation,median_mfe_pct_validation,median_mae_pct_validation,symbol_n_validation,trade_date_n_validation,passes_sample_gate,discovery_effect_sign,validation_effect_sign,same_effect_direction,effect_type,validation_minus_discovery_lift_pp,discovery_abs_lift_pp,discovery_rank_within_hypothesis,direction_pass,direction_reason,temporal_pass,temporal_reason,concentration_pass,concentration_reason,etf_pass,etf_reason,etf_base_ff_pct,etf_excluded_ff_pct,etf_delta_pp,promotion_tier,robustness_pass_count
H1B,STRUCTURE_CLEARANCE_X_3IDX_5D_REGIME,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,DISCOVERY,51.00539480137322,1122,49.376114081996434,1595,51.5987460815047,0.994605198626779,2.623885918003566,0.4012539184952999,490,475,247,228,1,14,52.0,1.2272480786533075,1.1720411940655002,0.8834616619648141,0.7980419470587756,109,112,VALIDATION,49.45544554455446,1285,48.79377431906615,1366,52.92825768667642,2.4195544554455424,3.081225680933855,-1.0532576866764245,491,480,249,231,3,8,51.875,1.6702967957351065,1.5409567979295469,1.2522495500899935,1.107083655652546,105,99,True,1.0,1.0,True,POSITIVE_REPLICATING,1.4249492568187634,0.994605198626779,19.0,True,,True,,True,,True,,51.875,50.90497737556561,0.9700226244343924,TIER_B_CONTEXT,4
H1B,STRUCTURE_CLEARANCE_X_3IDX_5D_REGIME,session_level_clear_state,ONE_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,DISCOVERY,51.00539480137322,830,52.04819277108434,1595,51.5987460815047,-1.5834294834541467,-2.626227453165264,-2.1767807635856258,352,346,171,175,1,5,49.421965317919074,1.211339356641308,1.3124426686693706,0.863904115996007,0.8407496476060345,103,116,VALIDATION,49.45544554455446,709,47.24964739069112,1366,52.92825768667642,-2.3290087629452643,-0.1232106090819229,-5.801820905067231,270,261,123,138,7,2,47.12643678160919,1.6495531597426278,1.5942975883107746,1.1511837132078897,1.1222229413328275,100,96,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,-0.7455792794911176,1.5834294834541467,17.0,True,,False,VALIDATION_NEWER_sign_fail,True,,True,,47.12643678160919,46.774193548387096,0.3522432332220973,TIER_B_CONTEXT,3
H4A,C2_EXHAUSTION_X_STRUCTURE_CLEARANCE,exhaustion_state,MULTIPLE,session_level_clear_state,NONE_CLEARED,DISCOVERY,51.00539480137322,850,48.588235294117645,1122,49.376114081996434,-1.005394801373221,1.411764705882355,0.6238859180035661,119,118,59,59,1,0,50.0,1.7489817263341167,1.8977520712875129,1.2664105703068935,1.3049017019958002,60,77,VALIDATION,49.45544554455446,1323,48.52607709750567,1285,48.79377431906615,-2.136833557172757,-1.2074651101239695,-1.4751623316844444,325,317,150,167,8,0,47.3186119873817,2.2908407093082133,2.071890238971329,1.6525423728813584,1.5208333333333268,88,121,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,-1.131438755799536,1.005394801373221,11.0,False,BEAR_sign_fail,False,VALIDATION_OLDER_sign_fail,True,,True,,47.3186119873817,46.92556634304207,0.3930456443396295,TIER_B_CONTEXT,2
H2B,STRUCTURE_CLEARANCE_X_RELATIVE_STRENGTH_5D,session_level_clear_state,NONE_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,DISCOVERY,51.00539480137322,1122,49.376114081996434,2009,49.32802389248382,-3.550849346827768,-1.921568627450981,-1.8734784379383669,565,550,261,289,1,14,47.45454545454545,1.2471039065968852,1.2443262196458516,0.865041437299623,0.8791208791208778,111,143,VALIDATION,49.45544554455446,1285,48.79377431906615,1959,49.668198060234815,-2.104452167071017,-1.4427809415827042,-2.317204682751374,624,604,286,318,9,11,47.35099337748344,1.6889376729893786,1.588344884524627,1.17242750871958,1.101344281924085,110,149,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,1.446397179756751,3.550849346827768,4.0,True,,True,,True,,True,,47.35099337748344,47.285464098073554,0.06552927940988695,TIER_B_CONTEXT,4
H2A,STRUCTURE_CLEARANCE_X_RELATIVE_MULTI_HORIZON,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,DISCOVERY,51.00539480137322,830,52.04819277108434,1271,52.95043273013376,3.889710093731672,2.8469121240205557,1.9446721649711376,296,286,157,129,0,10,54.89510489510489,1.362429691786481,1.2132399490680146,1.0147966166110898,0.8379764518736041,100,135,VALIDATION,49.45544554455446,709,47.24964739069112,1389,50.82793376529877,2.0151426907396583,4.220940844603,0.6426544699953425,280,272,140,132,7,1,51.47058823529412,1.6659505329144753,1.5818230995703113,1.2298735279938848,1.0825606110667834,101,125,True,1.0,1.0,True,POSITIVE_REPLICATING,-1.8745674029920136,3.889710093731672,7.0,True,,True,,True,,True,,51.47058823529412,50.75757575757576,0.7130124777183653,TIER_B_CONTEXT,4
H2A,STRUCTURE_CLEARANCE_X_RELATIVE_MULTI_HORIZON,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,DISCOVERY,51.00539480137322,886,54.85327313769752,1271,52.95043273013376,5.164817964584223,1.3169396282599308,3.219780035823689,242,235,132,103,5,2,56.17021276595744,1.338674609675232,1.337394892760798,1.0770101450932623,0.9865798873991356,94,111,VALIDATION,49.45544554455446,961,51.92507804370448,1389,50.82793376529877,1.984883673552538,-0.4847488255974781,0.6123954528082223,248,243,125,118,4,1,51.440329218107,1.7333185166467124,1.376558180423812,1.324783943168323,0.9510282428020664,93,107,True,1.0,1.0,True,POSITIVE_REPLICATING,-3.179934291031685,5.164817964584223,3.0,False,BEAR_sign_fail,False,VALIDATION_NEWER_sign_fail,True,,True,,51.440329218107,51.86721991701245,0.42689069890544573,TIER_B_CONTEXT,2
H2A,STRUCTURE_CLEARANCE_X_RELATIVE_MULTI_HORIZON,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,MIXED,DISCOVERY,51.00539480137322,886,54.85327313769752,1354,49.77843426883309,2.3279385319601147,-1.519939804364178,3.554899064500248,321,315,168,147,2,4,53.333333333333336,1.4361722614866166,1.402224549460357,1.053913780319886,1.0458356917106704,96,127,VALIDATION,49.45544554455446,961,51.92507804370448,1301,48.50115295926211,1.802416090665666,-0.6672164084843502,2.7567086759580164,325,318,163,155,7,0,51.25786163522013,1.687036461349207,1.7031173217835258,1.2564408197049264,1.1963737243634165,102,133,True,1.0,1.0,True,POSITIVE_REPLICATING,-0.5255224412944486,2.3279385319601147,11.0,True,,False,VALIDATION_NEWER_sign_fail,True,,True,,51.25786163522013,51.42857142857143,0.17070979335129977,TIER_B_CONTEXT,3
H2A,STRUCTURE_CLEARANCE_X_RELATIVE_MULTI_HORIZON,session_level_clear_state,TWO_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,DISCOVERY,51.00539480137322,1120,49.82142857142857,1312,48.93292682926829,-4.338728134706557,-3.154761904761905,-2.266260162601625,350,345,161,184,1,4,46.66666666666666,1.2153716611109755,1.3062535764072296,0.8810965455508544,0.9960264683510016,106,131,VALIDATION,49.45544554455446,1064,49.62406015037594,1350,48.96296296296296,-1.791894142685301,-1.9605087485067827,-1.2994115610938053,329,321,153,168,7,1,47.66355140186916,1.753594999204488,1.612732417628786,1.1005569261223531,1.133739239974804,104,136,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,2.546833992021256,4.338728134706557,4.0,True,,False,VALIDATION_NEWER_sign_fail,True,,True,,47.66355140186916,47.58842443729903,0.07512696457012424,TIER_B_CONTEXT,3
H5A,RELATIVE_MULTI_HORIZON_X_3IDX_5D_REGIME,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_ALIGNED,DISCOVERY,51.00539480137322,1312,48.93292682926829,1615,50.154798761609904,-1.290024782397886,0.7824431897070454,-0.4394287426345684,533,527,262,265,1,5,49.715370018975335,1.4180465039870245,1.239911807462126,0.9707766212970363,0.8765339343851717,107,120,VALIDATION,49.45544554455446,1350,48.96296296296296,1466,45.29331514324693,-1.728172817281731,-1.2356902356902353,2.433957584025798,452,440,210,230,11,1,47.72727272727273,1.6864843088361945,1.760951782282903,1.1463050655603872,1.2912079414644022,108,107,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,-0.4381480348838451,1.290024782397886,10.0,True,,True,,True,,True,,47.72727272727273,46.601941747572816,1.1253309796999105,TIER_B_CONTEXT,4
H1A,STRUCTURE_CLEARANCE_X_MARKET_5D_CONSENSUS,session_level_clear_state,ONE_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,DISCOVERY,51.00539480137322,830,52.04819277108434,1899,51.02685624012639,-0.7614923623488323,-1.8042903320599493,-0.7829538011019963,417,410,206,204,1,6,50.24390243902439,1.2385643892801033,1.3250816965578047,0.8785654110001252,0.8817952541374355,104,137,VALIDATION,49.45544554455446,709,47.24964739069112,1783,53.11273135165452,-1.7213065717447904,0.4844915821185509,-5.37859237884485,341,331,158,173,8,2,47.73413897280967,1.8025524733799232,1.650993568152784,1.2180899208761344,1.141360501718048,106,125,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,-0.959814209395958,0.7614923623488323,13.0,True,,False,VALIDATION_NEWER_sign_fail,True,,True,,47.73413897280967,47.48427672955975,0.24986224324991468,TIER_B_CONTEXT,3
H5B,RELATIVE_STRENGTH_5D_X_3IDX_5D_REGIME,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_OPPOSING,DISCOVERY,51.00539480137322,2009,49.32802389248382,1595,51.5987460815047,0.472437710942053,2.149808619831454,-0.120913569189426,835,812,418,394,3,20,51.47783251231528,1.1789857236028112,1.216414987103341,0.8652606181621466,0.866256189654566,112,124,VALIDATION,49.45544554455446,1959,49.668198060234815,1366,52.92825768667642,1.5971860343929123,1.3844335187125552,-1.8756261077290544,778,760,388,372,8,10,51.05263157894737,1.5869100180283475,1.3957909958041412,1.1728909664472265,0.9538282993373158,112,110,True,1.0,1.0,True,POSITIVE_REPLICATING,1.1247483234508593,0.472437710942053,8.0,True,,True,,True,,True,,51.05263157894737,50.943396226415096,0.10923535253227357,TIER_B_CONTEXT,4
H2A,STRUCTURE_CLEARANCE_X_RELATIVE_MULTI_HORIZON,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,DISCOVERY,51.00539480137322,1122,49.376114081996434,1271,52.95043273013376,1.053428728038547,2.682709447415334,-0.8916092007219873,351,340,177,163,0,11,52.05882352941177,1.2855050484999744,1.1670263797072125,0.8841732979663982,0.7749912922326763,105,130,VALIDATION,49.45544554455446,1285,48.79377431906615,1389,50.82793376529877,1.392012082564186,2.0536833080524985,0.01952386181987,479,472,240,232,4,3,50.84745762711864,1.6372665040097965,1.5102891889932992,1.1185045250777004,1.0883648613630517,105,146,True,1.0,1.0,True,POSITIVE_REPLICATING,0.3385833545256389,1.053428728038547,13.0,True,,False,VALIDATION_OLDER_sign_fail,True,,True,,50.84745762711864,51.1520737327189,0.3046161056002603,TIER_D_NONACTIONABLE,3
H5B,RELATIVE_STRENGTH_5D_X_3IDX_5D_REGIME,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_ALIGNED,DISCOVERY,51.00539480137322,2009,49.32802389248382,1615,50.154798761609904,-2.151353788104224,-0.473982879214823,-1.3007577483409063,843,829,405,424,1,13,48.854041013269,1.3976695157317605,1.2612856559323156,0.9187082405345176,0.8960651054067017,112,123,VALIDATION,49.45544554455446,1959,49.668198060234815,1466,45.29331514324693,-1.0884159955653416,-1.3011685112456988,3.0737144057421872,666,643,311,332,19,4,48.36702954898912,1.7732378335595789,1.7360246957465264,1.171320759638392,1.2427007689280796,110,109,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,1.0629377925388823,2.151353788104224,5.0,False,BEAR_sign_fail,True,,True,,True,,48.36702954898912,47.35973597359736,1.0072935753917633,TIER_D_NONACTIONABLE,3
H1B,STRUCTURE_CLEARANCE_X_3IDX_5D_REGIME,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,DISCOVERY,51.00539480137322,1122,49.376114081996434,344,50.2906976744186,-3.693566844383973,-2.064286125007186,-2.9788697174293546,94,93,44,49,0,1,47.31182795698925,1.3128255800152415,1.5552512162605916,0.8679430662258476,0.9700423362495484,66,25,VALIDATION,49.45544554455446,1285,48.79377431906615,623,47.67255216693419,-0.9347354853828592,-0.2730642598945465,0.8481578922374098,172,169,82,87,3,0,48.5207100591716,1.6249270990483182,1.4343359723099018,1.1759304121129888,1.046559049917422,84,45,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,2.758831359001114,3.693566844383973,9.0,False,BEAR_sign_fail,False,VALIDATION_OLDER_n<75,True,,True,,48.5207100591716,50.32258064516129,1.8018705859896897,TIER_D_NONACTIONABLE,2
H2B,STRUCTURE_CLEARANCE_X_RELATIVE_STRENGTH_5D,session_level_clear_state,TWO_OF_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,DISCOVERY,51.00539480137322,1120,49.82142857142857,1928,51.76348547717842,-0.2807571202137993,0.9032091097308524,-1.0388477960189988,564,552,280,272,2,10,50.72463768115942,1.3118753014899636,1.1486537003056905,0.9322624948422512,0.8211369422966253,111,144,VALIDATION,49.45544554455446,1064,49.62406015037594,2081,49.25516578567997,-0.8206332578650404,-0.989247863686522,-0.6203534989905464,598,586,285,301,10,2,48.63481228668942,1.6196512481769203,1.4970210106040052,1.1174525617612228,1.138470510572441,112,152,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,-0.5398761376512411,0.2807571202137993,10.0,False,BEAR_sign_fail,False,VALIDATION_NEWER_sign_fail,True,,True,,48.63481228668942,48.85361552028219,0.21880323359277298,TIER_D_NONACTIONABLE,2
H4A,C2_EXHAUSTION_X_STRUCTURE_CLEARANCE,exhaustion_state,NONE,session_level_clear_state,ONE_OF_3_CLEARED,DISCOVERY,51.00539480137322,2517,52.44338498212157,830,52.04819277108434,2.869143944014233,1.4311537632658826,1.8263459743031163,558,542,292,250,0,16,53.874538745387454,1.174101936180234,1.155077983621903,0.8540654210205887,0.7551747830998321,109,154,VALIDATION,49.45544554455446,2063,50.26660203587009,709,47.24964739069112,0.8022864142084316,-0.0088700771072041,3.008084568071773,394,388,195,193,1,5,50.25773195876289,1.3277226876437322,1.413875991499338,0.947746716349282,1.0159735819371751,102,141,True,1.0,1.0,True,POSITIVE_REPLICATING,-2.0668575298058016,2.869143944014233,10.0,True,,True,,True,,True,,50.25773195876289,49.438202247191015,0.8195297115718745,TIER_D_NONACTIONABLE,4
H3B,PREMARKET_RVOL_X_LEVEL_CLUSTER,premarket_rvol_20d_discovery_state,HIGH,relevant_level_cluster_state,MODERATE_CLUSTER,DISCOVERY,51.00539480137322,755,49.80132450331126,2431,51.54257507198684,0.9553895123522692,2.159459810414233,0.4182092417386513,414,408,212,196,2,4,51.96078431372549,1.3015039480253514,1.297949143181886,0.8943920377461921,1.0196229840722195,105,138,VALIDATION,49.45544554455446,747,51.40562248995984,2245,48.55233853006681,0.6870045978956867,-1.2631723475096948,1.590111612383332,356,351,176,175,4,1,50.142450142450144,1.4236482855280062,1.332017413007501,1.022473703520448,0.9813424929591712,103,130,True,1.0,1.0,True,POSITIVE_REPLICATING,-0.2683849144565826,0.9553895123522692,10.0,True,,False,VALIDATION_OLDER_sign_fail,True,,True,,50.142450142450144,50.57471264367816,0.432262501228017,TIER_D_NONACTIONABLE,3
H3B,PREMARKET_RVOL_X_LEVEL_CLUSTER,premarket_rvol_20d_discovery_state,MODERATE,relevant_level_cluster_state,TIGHT_CLUSTER,DISCOVERY,51.00539480137322,2255,51.17516629711752,794,53.02267002518892,2.804129008150589,2.634357512406297,0.7868537843348946,442,420,226,194,0,22,53.80952380952381,1.027081996188359,0.9134006285921684,0.774556606525243,0.6325531368784003,99,136,VALIDATION,49.45544554455446,2642,49.621498864496594,553,50.27124773960217,0.2667766776677638,0.1007233577256272,-0.5490255173799454,369,360,179,181,0,9,49.72222222222222,1.1404876815606486,1.090709541139936,0.7969201154956662,0.8061009465832585,100,142,True,1.0,1.0,True,POSITIVE_REPLICATING,-2.5373523304828254,2.804129008150589,6.0,False,BULL_sign_fail,False,VALIDATION_NEWER_sign_fail,False,top1>5.0;top10>30.0,True,,49.72222222222222,50.15673981191223,0.4345175896900102,TIER_D_NONACTIONABLE,1
H5A,RELATIVE_MULTI_HORIZON_X_3IDX_5D_REGIME,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_OPPOSING,DISCOVERY,51.00539480137322,1312,48.93292682926829,1595,51.5987460815047,-1.0981591798518835,0.9743087922530478,-1.6915104599833626,556,539,269,270,2,15,49.90723562152134,1.188892061869805,1.2326425301087127,0.8648351291301586,0.8464258738505536,111,122,VALIDATION,49.45544554455446,1350,48.96296296296296,1366,52.92825768667642,-0.2159018183187129,0.2765807632727828,-3.68871396044068,539,526,259,267,5,8,49.23954372623575,1.568727791822878,1.4650834722681196,1.1404231931849451,0.9531071635226888,112,109,True,-1.0,-1.0,True,NEGATIVE_REPLICATING,0.8822573615331706,1.0981591798518835,11.0,False,BEAR_sign_fail,False,VALIDATION_NEWER_sign_fail,True,,True,,49.23954372623575,49.4140625,0.17451877376424818,TIER_D_NONACTIONABLE,2
H5B,RELATIVE_STRENGTH_5D_X_3IDX_5D_REGIME,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,MAJORITY_ALIGNED,DISCOVERY,51.00539480137322,1928,51.76348547717842,344,50.2906976744186,4.609578460658867,3.851487784853667,5.324275587613485,192,187,104,83,0,5,55.61497326203209,1.351587104515123,1.0988191025850638,0.9956968915121892,0.8038157615065691,95,28,VALIDATION,49.45544554455446,2081,49.25516578567997,623,47.67255216693419,0.1402417869819316,0.3405215458564257,1.9231351646022008,377,371,184,187,6,0,49.59568733153639,1.361687266530115,1.5688881105750303,1.0172432802979727,1.100864748007031,108,48,True,1.0,1.0,True,POSITIVE_REPLICATING,-4.469336673676935,4.609578460658867,2.0,False,BEAR_sign_fail,False,VALIDATION_NEWER_sign_fail,True,,True,,49.59568733153639,50.0,0.4043126684636107,TIER_D_NONACTIONABLE,2
H3A,PREMARKET_RVOL_X_C2_BREAK_COUNT,premarket_rvol_20d_discovery_state,HIGH,c2_break_count_state,NO_C2_LEVEL_BREAK,DISCOVERY,51.00539480137322,755,49.80132450331126,2899,50.948602966540186,1.299569737633874,2.503640035695838,1.3563615724669091,575,564,295,269,7,4,52.304964539007095,1.460426523521479,1.5112525702238655,0.9820666097352616,1.0983594991817225,107,142,VALIDATION,49.45544554455446,747,51.40562248995984,2942,50.4418762746431,0.016385441361038,-1.9337915040443436,-0.9700452887276044,597,568,281,287,26,3,49.471830985915496,1.9080061195447244,1.7055195498843374,1.44109797941289,1.1930669982900644,108,147,True,1.0,1.0,True,POSITIVE_REPLICATING,-1.283184296272836,1.299569737633874,10.0,False,BULL_sign_fail,False,VALIDATION_OLDER_sign_fail,True,,True,,49.471830985915496,49.73451327433628,0.262682288420784,TIER_D_NONACTIONABLE,2
