sensitivity,period_type,period,weekday,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
BASE,research_period,DISCOVERY,MONDAY,851,828,452,376,4,19,54.589371980676326,51.8213866039953,1.2498483877580613,1.1336478398483807,0.9453929730492474,0.8517260894170832,112,31
BASE,research_period,DISCOVERY,TUESDAY,880,862,432,430,1,17,50.11600928074246,45.34090909090909,1.2873071447137625,1.2466754475114494,0.8855276268295231,0.9132566194257343,111,33
BASE,research_period,DISCOVERY,WEDNESDAY,882,860,461,399,2,20,53.604651162790695,47.05215419501134,1.3333995219209058,1.1608215354292502,0.9451023457625536,0.7927003136583959,112,33
BASE,research_period,DISCOVERY,THURSDAY,794,781,390,391,5,8,49.9359795134443,44.7103274559194,1.3406654343362987,1.3651697121886532,0.9438474760363117,0.9678399091648191,112,29
BASE,research_period,DISCOVERY,FRIDAY,766,747,345,402,2,17,46.18473895582329,41.90600522193211,1.2322931708310427,1.327933398960616,0.8321675420412382,0.8887440622413766,112,32
BASE,research_period,VALIDATION,MONDAY,743,725,363,362,15,3,50.06896551724138,48.45222072678331,1.6396577308662885,1.538347572153689,1.093086402562142,1.073695261424913,112,30
BASE,research_period,VALIDATION,TUESDAY,876,859,436,423,10,7,50.756693830034926,50.114155251141554,1.6631049261118502,1.5534818665903505,1.1642758930503934,1.170420210786051,112,33
BASE,research_period,VALIDATION,WEDNESDAY,857,836,421,415,14,7,50.35885167464115,47.374562427071176,1.6886430309467595,1.500581208066081,1.2186335014567349,1.0731302181230111,112,33
BASE,research_period,VALIDATION,THURSDAY,902,879,429,450,15,8,48.80546075085324,43.4589800443459,1.6440237635940327,1.6880131674554515,1.099516817106894,1.197973784102702,112,33
BASE,research_period,VALIDATION,FRIDAY,756,741,349,392,13,2,47.09851551956815,47.883597883597886,1.7173732530105643,1.4558056902534977,1.2930583960648812,1.077980290020522,112,30
