time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1780328100,211.31,211.31,210.91,211.135,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,9158,7396.45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780328400,211.08,211.18,210.63,210.905,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,10444,7489.35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780328700,210.86,210.86,210.105,210.165,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,4630,7295.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329000,210.16,210.24,209.99,210.24,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,8752,7298.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329300,210.2,210.36,209.37,209.405,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,6022,6971.3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329600,209.5,209.73,209.09,209.73,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,12986,7257.85,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329900,209.775,210.26,209.65,209.92,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,9818,7422.35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330200,209.93,210.05,209.63,209.94,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,4884,7374.35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330500,209.99,210.035,209.77,210.035,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,7723,7426.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330800,210.03,210.09,209.75,209.75,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,3917,7297.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331100,209.76,209.79,209.11,209.325,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,8025,7306.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331400,209.41,209.45,208.695,208.83,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,11580,7657.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331700,208.82,209.13,208.64,209.09,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,15648,8093.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332000,209.08,209.23,209.04,209.2,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,6970,8179.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332300,209.17,209.17,208.95,209.03,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,3460,7893.25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332600,209.05,209.065,208.56,208.8,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,8566,7951.55,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332900,208.83,208.95,208.73,208.74,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,5199,7925.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780333200,208.785,209.24,208.75,209.23,0,0,,,0,0,0,,206.86,207.62,206.86,207.62,8,1.6200000000000045,207.36666666666667,,,,,,,,0.00945179584120983,,,,4.554106135731259,0.13661082474226743,0.14647221129253724,,,,208,205.57,208,206,1502,208.19,207.72,264,208.08,203.715,208.03,0,0,,,,,,,,,,,,,,,,,,10425,8143.85,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
